STATISTIC,Statistic Label,TLIST(A1),Year,C02479V04377,Garda Region,C02480V03003,Type of Offence,UNIT,VALUE
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,9,"Fraud, deception and related offences ",Number,1063
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,10,Controlled drug offences ,Number,4104
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,11,Weapons and explosives offences ,Number,462
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,12,Damage to property and to the environment  offences ,Number,4552
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,13,Public order and other social code offences ,Number,8640
RCD06C01,Recorded crime incidents,2018,2018,40,Southern Region,15,"Offences against government, justice procedures and organisation of crime ",Number,3103
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,1,Homicide & related offences ,Number,88
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,2,Sexual offences ,Number,3213
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,20191
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,4,Dangerous or negligent acts ,Number,8561
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,5,Kidnapping and related offences ,Number,135
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,6,"Robbery, extortion and hijacking offences ",Number,2444
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,7,Burglary and related offences ,Number,16960
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,8,Theft and related offences ,Number,66950
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,9,"Fraud, deception and related offences ",Number,6310
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,10,Controlled drug offences ,Number,18275
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,11,Weapons and explosives offences ,Number,2441
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,12,Damage to property and to the environment  offences ,Number,21515
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,13,Public order and other social code offences ,Number,31966
RCD06C01,Recorded crime incidents,2018,2018,IE0,State,15,"Offences against government, justice procedures and organisation of crime ",Number,16619
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,1,Homicide & related offences ,Number,26
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,2,Sexual offences ,Number,1055
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,7476
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,4,Dangerous or negligent acts ,Number,1977
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,5,Kidnapping and related offences ,Number,39
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,6,"Robbery, extortion and hijacking offences ",Number,1592
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,7,Burglary and related offences ,Number,7722
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,8,Theft and related offences ,Number,37033
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,9,"Fraud, deception and related offences ",Number,3523
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,10,Controlled drug offences ,Number,8356
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,11,Weapons and explosives offences ,Number,1256
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,12,Damage to property and to the environment  offences ,Number,8865
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,13,Public order and other social code offences ,Number,10929
RCD06C01,Recorded crime incidents,2019,2019,10,Dublin Metropolitan Region,15,"Offences against government, justice procedures and organisation of crime ",Number,10342
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,1,Homicide & related offences ,Number,12
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,2,Sexual offences ,Number,719
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4623
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,4,Dangerous or negligent acts ,Number,2131
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,5,Kidnapping and related offences ,Number,28
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,6,"Robbery, extortion and hijacking offences ",Number,222
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,7,Burglary and related offences ,Number,2346
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,8,Theft and related offences ,Number,7432
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,9,"Fraud, deception and related offences ",Number,1339
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,10,Controlled drug offences ,Number,2806
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,11,Weapons and explosives offences ,Number,455
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,12,Damage to property and to the environment  offences ,Number,3967
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,13,Public order and other social code offences ,Number,7262
RCD06C01,Recorded crime incidents,2019,2019,20,North Western Region,15,"Offences against government, justice procedures and organisation of crime ",Number,2165
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,1,Homicide & related offences ,Number,12
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,2,Sexual offences ,Number,830
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,3,"Attempts/threats to murder, assaults, harassments and related offences ",Number,4723
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,4,Dangerous or negligent acts ,Number,2344
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,5,Kidnapping and related offences ,Number,21
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,6,"Robbery, extortion and hijacking offences ",Number,254
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,7,Burglary and related offences ,Number,4178
RCD06C01,Recorded crime incidents,2019,2019,30,Eastern Region,8,Theft and related offences ,Number,12602
